net,length_um
net75,295.09µm
net81,286.72µm
net77,286.25µm
net69,259.83µm
net73,255.31µm
net86,253.58µm
net96,247.18µm
net83,236.5µm
net59,235.84µm
net67,234.78µm
net63,234.27µm
net65,231.42µm
net88,216.71µm
net78,203.05µm
net82,199.86µm
net71,196.54µm
net61,191.6µm
net79,188.84µm
clknet_0_clk,188.22µm
net84,180.8µm
net76,180.32µm
net94,180.1µm
net99,177.88µm
net91,172.57µm
net85,172.18µm
net87,169.5µm
net97,169.46µm
net95,160.65µm
net70,156.64µm
net89,156.06µm
net68,154.16µm
net66,144.06µm
net1,136.02µm
clknet_3_6__leaf_clk,135.44µm
net93,133.89µm
net74,132.47µm
net4,130.8µm
clknet_3_4__leaf_clk,128.72µm
net62,126.34µm
clknet_3_2__leaf_clk,121.58µm
net3,120.7µm
clknet_3_1__leaf_clk,119.04µm
clknet_3_0__leaf_clk,115.7µm
net100,111.96µm
net90,111.43µm
net10,107.955µm
clknet_3_3__leaf_clk,107.5µm
net17,107.32µm
clknet_3_5__leaf_clk,105.3µm
net12,105.28µm
net72,100.22µm
clknet_3_7__leaf_clk,99.96µm
clk,99.07µm
net92,97.9µm
net80,94.08µm
net64,93.92µm
net98,90.16µm
_249_,85.97µm
net24,85.36µm
net60,84.25µm
net2,84.2µm
_184_,76.89µm
net19,75.61µm
_251_,71.25µm
net23,70.61µm
net20,69.455µm
net13,65.7µm
net11,64.66µm
net22,63.08µm
net25,63.05µm
_247_,62.4µm
net26,61.8µm
net15,60.46µm
net14,59.88µm
_252_,58.46µm
_253_,58.18µm
net16,57.72µm
net18,55.66µm
_250_,55.42µm
_121_,49.2µm
net49,48.3µm
net21,47.9µm
_180_,46.28µm
_112_,40.82µm
_181_,39.96µm
_113_,38.18µm
reg_array\[1\]\[10\],33.26µm
_248_,33.02µm
net8,31.3µm
reg_array\[4\]\[1\],30.36µm
net7,29.425µm
reg_array\[5\]\[1\],28.96µm
net9,28.28µm
reg_array\[2\]\[1\],27.78µm
reg_array\[6\]\[9\],27.67µm
_194_,27.44µm
reg_array\[2\]\[6\],26.88µm
reg_array\[1\]\[14\],26.6µm
reg_array\[7\]\[10\],26.22µm
reg_array\[4\]\[0\],25.98µm
reg_array\[1\]\[1\],25.78µm
reg_array\[4\]\[12\],25.68µm
net33,25.5µm
reg_array\[4\]\[2\],25.08µm
net36,24.84µm
net39,24.8µm
reg_array\[4\]\[3\],24.76µm
reg_array\[7\]\[5\],24.74µm
reg_array\[5\]\[11\],24.68µm
net5,24.58µm
reg_array\[6\]\[3\],23.955µm
_119_,23.66µm
reg_array\[7\]\[2\],23.2µm
reg_array\[5\]\[14\],22.9µm
reg_array\[5\]\[3\],22.82µm
reg_array\[4\]\[4\],22.78µm
reg_array\[6\]\[13\],22.73µm
_239_,22.72µm
reg_array\[6\]\[11\],22.65µm
reg_array\[7\]\[11\],22.64µm
reg_array\[6\]\[2\],22.595µm
reg_array\[3\]\[6\],22.48µm
reg_array\[5\]\[12\],22.46µm
reg_array\[4\]\[11\],22.26µm
net55,22.1µm
_147_,21.98µm
reg_array\[7\]\[3\],21.84µm
reg_array\[7\]\[1\],21.46µm
reg_array\[5\]\[7\],21.42µm
reg_array\[5\]\[2\],21.19µm
reg_array\[6\]\[12\],20.91µm
reg_array\[5\]\[4\],20.7µm
reg_array\[1\]\[3\],20.68µm
reg_array\[5\]\[0\],20.6µm
reg_array\[4\]\[13\],20.5µm
reg_array\[1\]\[6\],20.3µm
_219_,20.26µm
reg_array\[5\]\[5\],20.12µm
_127_,19.78µm
reg_array\[2\]\[10\],19.76µm
reg_array\[4\]\[14\],19.54µm
_172_,19.5µm
_227_,19.44µm
reg_array\[7\]\[13\],19.38µm
reg_array\[3\]\[8\],19.08µm
_151_,18.98µm
_226_,18.84µm
net48,18.74µm
reg_array\[2\]\[3\],18.7µm
reg_array\[6\]\[10\],18.645µm
reg_array\[3\]\[10\],18.46µm
reg_array\[2\]\[0\],18.44µm
reg_array\[5\]\[6\],18.36µm
net35,18.3µm
reg_array\[7\]\[14\],18.26µm
_159_,18.18µm
reg_array\[6\]\[7\],18.15µm
_168_,18.02µm
reg_array\[7\]\[4\],18µm
reg_array\[5\]\[9\],17.94µm
WD3[15],17.89µm
reg_array\[4\]\[7\],17.82µm
_206_,17.8µm
reg_array\[3\]\[1\],17.78µm
reg_array\[6\]\[5\],17.755µm
reg_array\[6\]\[1\],17.41µm
reg_array\[6\]\[4\],17.335µm
reg_array\[3\]\[4\],17.28µm
reg_array\[3\]\[3\],17.24µm
reg_array\[6\]\[6\],17.2µm
reg_array\[5\]\[10\],17.18µm
reg_array\[4\]\[6\],17.12µm
_160_,17.1µm
net51,17.1µm
reg_array\[2\]\[8\],16.96µm
reg_array\[7\]\[7\],16.96µm
net210,16.92µm
reg_array\[6\]\[0\],16.915µm
net52,16.9µm
net34,16.8µm
reg_array\[4\]\[10\],16.78µm
_120_,16.76µm
reg_array\[6\]\[14\],16.715µm
RD2[15],16.63µm
net130,16.58µm
reg_array\[5\]\[13\],16.56µm
net28,16.56µm
_114_,16.38µm
reg_array\[5\]\[15\],16.36µm
_214_,16.26µm
reg_array\[4\]\[5\],15.96µm
reg_array\[5\]\[8\],15.9µm
_238_,15.76µm
_202_,15.68µm
_139_,15.54µm
reg_array\[1\]\[0\],15.52µm
reg_array\[4\]\[9\],15.44µm
_122_,15.4µm
_215_,15.28µm
reg_array\[3\]\[0\],15.28µm
_129_,15.14µm
reg_array\[2\]\[4\],15.14µm
_176_,14.92µm
_223_,14.76µm
_167_,14.66µm
reg_array\[6\]\[8\],14.51µm
reg_array\[3\]\[12\],14.5µm
RD1[5],14.4µm
reg_array\[4\]\[15\],14.22µm
reg_array\[2\]\[5\],14.08µm
reg_array\[7\]\[8\],13.97µm
net32,13.92µm
net44,13.84µm
reg_array\[7\]\[15\],13.76µm
reg_array\[1\]\[5\],13.72µm
reg_array\[7\]\[6\],13.72µm
_105_,13.665µm
_235_,13.54µm
reg_array\[3\]\[7\],13.48µm
reg_array\[7\]\[9\],13.4µm
reg_array\[7\]\[0\],13.34µm
_224_,13.08µm
_173_,13.04µm
reg_array\[1\]\[12\],12.92µm
_208_,12.76µm
net6,12.7µm
reg_array\[1\]\[11\],12.58µm
_178_,12.54µm
_207_,12.46µm
_245_,12.44µm
reg_array\[1\]\[7\],12.34µm
_177_,12.28µm
RD2[5],12.14µm
_030_,12.125µm
_135_,11.94µm
reg_array\[2\]\[12\],11.88µm
_126_,11.82µm
_186_,11.82µm
reg_array\[2\]\[7\],11.8µm
reg_array\[3\]\[9\],11.74µm
_140_,11.72µm
RD2[6],11.71µm
net38,11.66µm
reg_array\[3\]\[15\],11.64µm
_083_,11.625µm
net152,11.62µm
_230_,11.6µm
_136_,11.58µm
net179,11.58µm
reg_array\[3\]\[11\],11.54µm
reg_array\[4\]\[8\],11.5µm
reg_array\[1\]\[2\],11.42µm
_243_,11.24µm
reg_array\[3\]\[2\],11.14µm
_073_,11.115µm
WD3[4],11.02µm
_190_,11.02µm
reg_array\[1\]\[9\],10.96µm
reg_array\[2\]\[2\],10.96µm
net208,10.96µm
_075_,10.945µm
reg_array\[3\]\[14\],10.84µm
net119,10.78µm
RegWrite,10.66µm
_146_,10.64µm
RD2[13],10.56µm
RD2[9],10.56µm
_027_,10.525µm
reg_array\[3\]\[5\],10.4µm
reg_array\[2\]\[11\],10.36µm
_118_,10.34µm
_157_,10.32µm
_187_,10.32µm
_203_,10.32µm
_000_,10.285µm
_017_,10.285µm
net155,10.24µm
WD3[12],10.2µm
WD3[8],10.2µm
net140,10.14µm
net195,10.14µm
_217_,10.1µm
reg_array\[7\]\[12\],10.04µm
_100_,9.985µm
reg_array\[1\]\[4\],9.96µm
_115_,9.94µm
reg_array\[2\]\[15\],9.92µm
_039_,9.905µm
RD2[2],9.88µm
RD2[7],9.88µm
_125_,9.7µm
net137,9.68µm
_132_,9.66µm
net145,9.66µm
net146,9.66µm
RD1[12],9.64µm
RD1[9],9.64µm
RD2[12],9.64µm
_130_,9.64µm
_131_,9.62µm
reg_array\[1\]\[13\],9.58µm
net47,9.48µm
_231_,9.44µm
RD2[4],9.42µm
WD3[13],9.4µm
WD3[9],9.4µm
reg_array\[1\]\[15\],9.38µm
_065_,9.365µm
_069_,9.365µm
_148_,9.36µm
net50,9.36µm
reg_array\[6\]\[15\],9.355µm
_163_,9.34µm
_123_,9.26µm
RD1[13],9.18µm
_005_,9.145µm
reg_array\[2\]\[14\],9.12µm
_033_,9.085µm
_211_,9.08µm
reg_array\[2\]\[9\],9.06µm
reg_array\[1\]\[8\],9.02µm
net46,8.98µm
RD1[2],8.96µm
_082_,8.905µm
reg_array\[2\]\[13\],8.9µm
WD3[0],8.84µm
WD3[10],8.84µm
WD3[5],8.84µm
_056_,8.765µm
net172,8.76µm
WD3[2],8.72µm
net123,8.72µm
A1[2],8.69µm
_191_,8.56µm
net41,8.52µm
RD1[4],8.5µm
RD1[7],8.5µm
net193,8.48µm
_004_,8.42µm
_142_,8.4µm
net43,8.4µm
net120,8.36µm
net176,8.36µm
net157,8.28µm
net211,8.28µm
_086_,8.225µm
_107_,8.225µm
net181,8.22µm
_220_,8.14µm
_164_,8.06µm
net42,8.06µm
net127,8.06µm
_144_,7.98µm
_179_,7.88µm
net194,7.8µm
reg_array\[3\]\[13\],7.64µm
_222_,7.6µm
RD1[6],7.59µm
WD3[14],7.59µm
WD3[1],7.59µm
net153,7.56µm
net104,7.52µm
_166_,7.48µm
net132,7.42µm
_155_,7.38µm
net182,7.36µm
_074_,7.315µm
_182_,7.18µm
_102_,7.145µm
_228_,7.14µm
net30,7.14µm
net31,7.14µm
_205_,7.1µm
_060_,7.045µm
_014_,6.96µm
_108_,6.96µm
_047_,6.925µm
_128_,6.9µm
RD1[0],6.89µm
net167,6.88µm
_158_,6.84µm
_028_,6.825µm
_063_,6.765µm
_012_,6.705µm
_020_,6.705µm
_090_,6.705µm
net151,6.6µm
net189,6.5µm
_234_,6.46µm
RD1[3],6.43µm
_152_,6.42µm
_225_,6.42µm
net178,6.38µm
_011_,6.365µm
_061_,6.365µm
_072_,6.365µm
_094_,6.365µm
_096_,6.365µm
A3[0],6.31µm
_018_,6.225µm
RD2[11],6.21µm
_026_,6.185µm
_050_,6.185µm
net143,6.14µm
net156,6.14µm
A1[0],6.09µm
RD2[8],6.09µm
net190,6.08µm
net177,5.98µm
A1[1],5.97µm
_076_,5.965µm
_204_,5.8µm
net58,5.8µm
_099_,5.765µm
net150,5.72µm
net37,5.68µm
net161,5.68µm
_104_,5.625µm
net113,5.6µm
net154,5.58µm
net186,5.56µm
RD2[10],5.53µm
WD3[3],5.53µm
_021_,5.505µm
_037_,5.505µm
_095_,5.505µm
_088_,5.475µm
_170_,5.46µm
WD3[7],5.41µm
_124_,5.38µm
_236_,5.38µm
net27,5.38µm
net45,5.38µm
net57,5.34µm
_009_,5.305µm
A3[1],5.29µm
WD3[11],5.29µm
net103,5.26µm
net184,5.26µm
_209_,5.22µm
_221_,5.22µm
net148,5.22µm
_016_,5.185µm
_078_,5.185µm
net180,5.12µm
_058_,5.085µm
RD1[14],5.07µm
RD1[15],5.07µm
RD1[1],5.07µm
_138_,5.04µm
net149,5µm
_010_,4.975µm
A2[1],4.95µm
A2[2],4.95µm
A3[2],4.95µm
_145_,4.92µm
_192_,4.92µm
_149_,4.88µm
net147,4.88µm
RD2[0],4.85µm
net206,4.8µm
_189_,4.76µm
RD2[14],4.73µm
_101_,4.725µm
net112,4.7µm
_198_,4.68µm
net101,4.66µm
_059_,4.625µm
_070_,4.625µm
A2[0],4.61µm
net212,4.6µm
_195_,4.48µm
RD1[10],4.39µm
RD1[11],4.39µm
RD1[8],4.39µm
RD2[1],4.39µm
RD2[3],4.39µm
_032_,4.385µm
_080_,4.385µm
_193_,4.34µm
net192,4.34µm
_068_,4.265µm
net102,4.24µm
net105,4.24µm
net110,4.24µm
net128,4.24µm
net187,4.24µm
net129,4.22µm
net165,4.2µm
_043_,4.165µm
_093_,4.165µm
net199,4.14µm
_087_,4.045µm
_244_,4µm
_106_,3.945µm
WD3[6],3.93µm
_036_,3.925µm
_057_,3.925µm
_196_,3.88µm
net106,3.78µm
net122,3.78µm
net209,3.78µm
_210_,3.74µm
_229_,3.74µm
net118,3.74µm
net142,3.74µm
_097_,3.705µm
net185,3.68µm
_116_,3.66µm
_154_,3.66µm
_137_,3.56µm
net29,3.56µm
_156_,3.54µm
_084_,3.515µm
_110_,3.505µm
_007_,3.465µm
_015_,3.465µm
_045_,3.465µm
_077_,3.465µm
net56,3.42µm
_098_,3.345µm
_171_,3.32µm
net170,3.32µm
net175,3.32µm
_013_,3.245µm
_035_,3.245µm
_064_,3.245µm
_089_,3.245µm
_031_,3.225µm
net169,3.22µm
_241_,3.2µm
net174,3.2µm
_022_,3.125µm
net40,3.1µm
_133_,3.08µm
_161_,3.08µm
_232_,3.08µm
_111_,3.045µm
_008_,3.005µm
_029_,3.005µm
_055_,3.005µm
_092_,3.005µm
_062_,2.98µm
_162_,2.96µm
_199_,2.96µm
net54,2.96µm
net121,2.96µm
net131,2.96µm
_066_,2.885µm
net138,2.86µm
net204,2.86µm
_023_,2.835µm
_038_,2.785µm
_044_,2.785µm
_049_,2.785µm
_051_,2.785µm
_081_,2.785µm
_091_,2.785µm
_109_,2.785µm
_006_,2.765µm
_153_,2.76µm
net111,2.76µm
net196,2.76µm
_201_,2.74µm
_085_,2.715µm
_233_,2.64µm
_117_,2.62µm
_141_,2.62µm
_240_,2.62µm
_246_,2.62µm
net125,2.62µm
_034_,2.545µm
_054_,2.545µm
_019_,2.52µm
_237_,2.5µm
_079_,2.42µm
net158,2.4µm
net159,2.4µm
net166,2.4µm
net188,2.4µm
_003_,2.375µm
_071_,2.375µm
_001_,2.325µm
_041_,2.325µm
_042_,2.325µm
_046_,2.325µm
_053_,2.325µm
_103_,2.325µm
net107,2.3µm
net108,2.3µm
net109,2.3µm
net114,2.3µm
net116,2.3µm
net117,2.3µm
net124,2.3µm
net126,2.3µm
net134,2.3µm
net135,2.3µm
net139,2.3µm
net144,2.3µm
net162,2.3µm
net163,2.3µm
net164,2.3µm
net171,2.3µm
net173,2.3µm
net183,2.3µm
net197,2.3µm
net198,2.3µm
net200,2.3µm
net202,2.3µm
net203,2.3µm
net205,2.3µm
net207,2.3µm
_143_,2.16µm
_165_,2.16µm
_175_,2.16µm
_185_,2.16µm
_024_,2.085µm
_048_,2.085µm
net53,2.04µm
net133,2.04µm
_218_,1.94µm
net115,1.94µm
net141,1.94µm
_002_,1.915µm
_025_,1.865µm
_052_,1.865µm
_242_,1.84µm
_134_,1.82µm
_150_,1.82µm
_174_,1.82µm
_213_,1.82µm
_067_,1.575µm
net160,1.48µm
net168,1.48µm
net191,1.48µm
_040_,1.405µm
_197_,1.36µm
net136,1.02µm
net201,1.02µm
_169_,0.92µm
_183_,0.46µm
_188_,0.46µm
_200_,0.46µm
_212_,0.46µm
_216_,0.46µm
